Winkelposition, Messreihe #1
Zeit ( s )	Winkelposition ( rad )
37,5500	1,395
37,6000	0,476
37,6500	-0,325
37,7000	-0,215
37,7500	0,646
37,8000	1,426
37,8500	1,568
37,9000	0,906
37,9500	-0,085
38,0000	-0,382
38,0500	0,256
38,1000	1,173
38,1500	1,601
38,2000	1,269
38,2500	0,284
38,3000	-0,380
38,3500	-0,091
38,4000	0,826
38,4500	1,508
38,5000	1,506
38,5500	0,712
38,6000	-0,217
38,6500	-0,324
38,7000	0,441
38,7500	1,305
38,8000	1,602
38,8500	1,109
38,9000	0,093
38,9500	-0,401
39,0000	0,066
39,0500	1,005
39,1000	1,568
39,1500	1,407
39,2000	0,498
39,2500	-0,317
39,3000	-0,228
39,3500	0,625
39,4000	1,415
39,4500	1,574
39,5000	0,927
39,5500	-0,068
39,6000	-0,386
39,6500	0,236
39,7000	1,156
39,7500	1,598
39,8000	1,288
39,8500	0,309
39,9000	-0,375
39,9500	-0,108
40,0000	0,804
40,0500	1,499
40,1000	1,516
40,1500	0,738
40,2000	-0,201
40,2500	-0,335
40,3000	0,416
40,3500	1,288
40,4000	1,604
40,4500	1,134
40,5000	0,119
40,5500	-0,401
40,6000	0,039
40,6500	0,977
40,7000	1,560
40,7500	1,425
40,8000	0,529
40,8500	-0,303
40,9000	-0,245
40,9500	0,595
41,0000	1,400
41,0500	1,580
41,1000	0,960
41,1500	-0,044
41,2000	-0,391
41,2500	0,209
41,3000	1,136
41,3500	1,594
41,4000	1,307
41,4500	0,336
41,5000	-0,369
41,5500	-0,129
41,6000	0,776
41,6500	1,486
41,7000	1,528
41,7500	0,771
41,8000	-0,181
41,8500	-0,346
41,9000	0,386
41,9500	1,268
42,0000	1,604
42,0500	1,161
42,1000	0,149
42,1500	-0,399
42,2000	0,013
42,2500	0,950
42,3000	1,552
42,3500	1,442
42,4000	0,564
42,4500	-0,289
42,5000	-0,262
42,5500	0,565
42,6000	1,384
42,6500	1,585
42,7000	0,988
42,7500	-0,019
42,8000	-0,396
42,8500	0,178
42,9000	1,109
42,9500	1,591
43,0000	1,330
43,0500	0,369
43,1000	-0,361
43,1500	-0,149
43,2000	0,748
43,2500	1,473
43,3000	1,538
43,3500	0,801
43,4000	-0,160
43,4500	-0,355
43,5000	0,353
43,5500	1,244
43,6000	1,604
43,6500	1,191
43,7000	0,184
43,7500	-0,396
43,8000	-0,017
43,8500	0,916
43,9000	1,539
43,9500	1,464
44,0000	0,609
44,0500	-0,269
44,1000	-0,284
44,1500	0,522
44,2000	1,357
44,2500	1,593
44,3000	1,032
44,3500	0,022
44,4000	-0,401
44,4500	0,138
44,5000	1,073
44,5500	1,583
44,6000	1,359
44,6500	0,416
44,7000	-0,347
44,7500	-0,181
44,8000	0,702
44,8500	1,453
44,9000	1,554
44,9500	0,855
45,0000	-0,124
45,0500	-0,369
45,1000	0,305
45,1500	1,208
45,2000	1,602
45,2500	1,232
45,3000	0,234
45,3500	-0,390
45,4000	-0,058
45,4500	0,867
45,5000	1,524
45,5500	1,489
45,6000	0,668
45,6500	-0,239
45,7000	-0,308
45,7500	0,473
45,8000	1,326
45,8500	1,599
45,9000	1,079
45,9500	0,066
46,0000	-0,402
46,0500	0,090
46,1000	1,026
46,1500	1,572
46,2000	1,396
46,2500	0,479
46,3000	-0,325
46,3500	-0,217
46,4000	0,646
46,4500	1,426
46,5000	1,568
46,5500	0,909
46,6000	-0,083
46,6500	-0,382
46,7000	0,256
46,7500	1,172
46,8000	1,599
46,8500	1,272
46,9000	0,287
46,9500	-0,380
47,0000	-0,097
47,0500	0,820
47,1000	1,505
47,1500	1,510
47,2000	0,719
47,2500	-0,209
47,3000	-0,330
47,3500	0,423
47,4000	1,293
47,4500	1,602
47,5000	1,128
47,5500	0,115
47,6000	-0,401
47,6500	0,044
47,7000	0,982
47,7500	1,560
47,8000	1,423
47,8500	0,529
47,9000	-0,305
47,9500	-0,245
48,0000	0,600
48,0500	1,401
48,1000	1,579
48,1500	0,960
48,2000	-0,044
48,2500	-0,391
48,3000	0,209
48,3500	1,134
48,4000	1,594
48,4500	1,307
48,5000	0,338
48,5500	-0,368
48,6000	-0,130
48,6500	0,774
48,7000	1,486
48,7500	1,528
48,8000	0,774
48,8500	-0,178
48,9000	-0,347
48,9500	0,377
