Temperatur, Messreihe #1
Zeit ( s )	Temperatur ( °C )
28,2000	2,0
28,3000	2,0
28,4000	2,0
28,5000	2,0
28,6000	2,0
28,7000	1,9
28,8000	1,9
28,9000	1,9
29,0000	1,9
29,1000	1,9
29,2000	1,9
29,3000	1,9
29,4000	1,9
29,5000	1,8
29,6000	1,8
29,7000	1,8
29,8000	1,8
29,9000	1,8
30,0000	1,8
30,1000	1,8
30,2000	1,7
30,3000	1,7
30,4000	1,7
30,5000	1,7
30,6000	1,7
30,7000	1,7
30,8000	1,7
30,9000	1,7
31,0000	1,6
31,1000	1,6
31,2000	1,6
31,3000	1,6
31,4000	1,6
31,5000	1,6
31,6000	1,6
31,7000	1,5
31,8000	1,5
31,9000	1,5
32,0000	1,5
32,1000	1,5
32,2000	1,5
32,3000	1,5
32,4000	1,4
32,5000	1,4
32,6000	1,4
32,7000	1,4
32,8000	1,4
32,9000	1,4
33,0000	1,4
33,1000	1,4
33,2000	1,3
33,3000	1,3
33,4000	1,3
33,5000	1,3
33,6000	1,3
33,7000	1,3
33,8000	1,3
33,9000	1,3
34,0000	1,2
34,1000	1,2
34,2000	1,2
34,3000	1,2
34,4000	1,2
34,5000	1,2
34,6000	1,2
34,7000	1,1
34,8000	1,1
34,9000	1,1
35,0000	1,1
35,1000	1,1
35,2000	1,1
35,3000	1,1
35,4000	1,1
35,5000	1,0
35,6000	1,0
35,7000	1,0
35,8000	1,0
35,9000	1,0
36,0000	1,0
36,1000	1,0
36,2000	0,9
36,3000	0,9
36,4000	0,9
36,5000	0,9
36,6000	0,9
36,7000	0,9
36,8000	0,9
36,9000	0,9
37,0000	0,8
37,1000	0,8
37,2000	0,8
37,3000	0,8
37,4000	0,8
37,5000	0,8
37,6000	0,8
37,7000	0,7
37,8000	0,7
37,9000	0,7
38,0000	0,7
38,1000	0,7
38,2000	0,7
38,3000	0,7
38,4000	0,7
38,5000	0,6
38,6000	0,6
38,7000	0,6
38,8000	0,6
38,9000	0,6
39,0000	0,6
39,1000	0,6
39,2000	0,5
39,3000	0,5
39,4000	0,5
39,5000	0,5
39,6000	0,5
39,7000	0,5
39,8000	0,5
39,9000	0,5
40,0000	0,4
40,1000	0,4
40,2000	0,4
40,3000	0,4
40,4000	0,4
40,5000	0,4
40,6000	0,4
40,7000	0,3
40,8000	0,3
40,9000	0,3
41,0000	0,3
41,1000	0,3
41,2000	0,3
41,3000	0,3
41,4000	0,3
41,5000	0,2
41,6000	0,2
41,7000	0,2
41,8000	0,2
41,9000	0,2
42,0000	0,2
42,1000	0,2
42,2000	0,1
42,3000	0,1
42,4000	0,1
42,5000	0,1
42,6000	0,1
42,7000	0,1
42,8000	0,1
42,9000	0,1
43,0000	0,0
43,1000	0,0
43,2000	0,0
43,3000	-5,5E-4
43,4000	0,0
43,5000	0,0
43,6000	0,0
43,7000	-0,1
43,8000	-0,1
43,9000	-0,1
44,0000	-0,1
44,1000	-0,1
44,2000	-0,1
44,3000	-0,1
44,4000	-0,2
44,5000	-0,2
44,6000	-0,2
44,7000	-0,2
44,8000	-0,2
44,9000	-0,2
45,0000	-0,2
45,1000	-0,2
45,2000	-0,3
45,3000	-0,3
45,4000	-0,3
45,5000	-0,3
45,6000	-0,3
45,7000	-0,3
45,8000	-0,3
45,9000	-0,4
46,0000	-0,4
46,1000	-0,4
46,2000	-0,4
46,3000	-0,4
46,4000	-0,4
46,5000	-0,4
46,6000	-0,5
46,7000	-0,5
46,8000	-0,5
46,9000	-0,5
47,0000	-0,5
47,1000	-0,5
47,2000	-0,5
47,3000	-0,5
47,4000	-0,6
47,5000	-0,6
47,6000	-0,6
47,7000	-0,6
47,8000	-0,6
47,9000	-0,6
48,0000	-0,6
48,1000	-0,7
48,2000	-0,7
48,3000	-0,7
48,4000	-0,7
48,5000	-0,7
48,6000	-0,7
48,7000	-0,7
48,8000	-0,8
48,9000	-0,8
49,0000	-0,8
49,1000	-0,8
49,2000	-0,8
49,3000	-0,8
49,4000	-0,8
49,5000	-0,8
49,6000	-0,9
49,7000	-0,9
49,8000	-0,9
49,9000	-0,9
50,0000	-0,9
50,1000	-0,9
50,2000	-0,9
50,3000	-0,9
50,4000	-1,0
50,5000	-1,0
0,0000	-1,3
0,1000	-1,3
0,2000	-1,3
0,3000	-1,3
